Sno,District,Hospital Id,Hospital Name,Hospital Contact,Hospital Type,Specialities
23,KANGRA,02002061,COMMUNITY HEALTH CENTRE Bhawarna,1894247158,Public,"M1, M7"
24,KANGRA,02002062,PRIMARY HEALTH CENTRE Gopalpur,1894252226,Public,"M1, M7"
25,KANGRA,02002063,Distt  Ayurvedic Hospital Dharmshala,7018220064,Public,"M1, M7"
26,KANGRA,02002065,Ayurvedic Hospital Dehra,9816818767,Public,"M1, M7, S1"
27,KANGRA,02002066,Ayurvedic Hospital Harsar,9816446493,Public,"M1, M7"
28,KANGRA,02002070,Dr RPMC Hospital Tanda,1892287001,Public,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9, BM, ER, ID, IN, NA, OT, TG"
29,KANGRA,02002071,Civil Hospital Palampur,9418840344,Public,S1
30,KANGRA,02002072,COMMUNITY HEALTH CENTRE Nagrota Surian,9418620212,Public,"M1, M7"
31,KANGRA,02002073,Shree Balaji Hospital KANGRA,7649919222,Private(For Profit),"M1, M7, M2, S1, S12, S2, S3, S4, S5, S7, S8, S9, M3, M4, M6, S13, S16, S6"
32,KANGRA,02002077,S M Eye Hospital Kangra,9816336029,Private(For Profit),S3
33,KANGRA,02002080,KARAN HOSPITAL PALAMPUR,9805704423,Private(For Profit),"M1, M7, S1, S13, S2, S4, S8, S9, MG, SB, SP, SU"
34,KANGRA,02002081,Vivekanand Medical Institute Palampur,9816788800,Private(For Profit),"MG, MN, MP, SB, SE, SG, SM, SN, SO, SU"
35,KANGRA,02002085,Surya Hospital,7696307219,Private(For Profit),"M1, M2, S8, M7, M3, S1, S16, S2, S3, S4, S5, S6, S7, S9"
36,KANGRA,02002086,Dr  Neena Pahwa Hospital,8628854333,Private(For Profit),"S1, S4, S7"
37,KANGRA,02002087,COMMUNITY HEALTH CENTRE Indora,8894010069,Public,"M1, M7"
38,KANGRA,02002088,Halderkola ayurvedic Hospital  Kangra,7018487752,Public,"M1, M7"
39,Lahul & Spiti,02003007,COMMUNITY HEALTH CENTRE Shansha,7018293270,Public,"M1, M7"
40,Lahul & Spiti,02003008,COMMUNITY HEALTH CENTRE KAZA,9459707272,Public,"M1, M7"
41,Lahul & Spiti,02003009,PRIMARY HAELTH CENTRE Tabo,9418206208,Public,"M1, M7"
42,Lahul & Spiti,02003010,Distt  Ayurvedic  HospitalKeylong,9015198206,Public,"M1, M7"
43,Lahul & Spiti,02003011,REGIONAL HOSPITAL KEYLONG,9459723567,Public,"M1, M7"
44,Lahul & Spiti,02003012,COMMUNITY HEALTH CENTRE UDAYPUR,8351960658,Public,"M1, M7"
45,KULLU,02004018,Lady Willingdon Hospital,9816649808,Private(For Profit),"M1, M7, M2, M3, S1, S10, S11, S16, S4, S5, S6"
46,KULLU,02004019,REGIONAL HOSPITAL KULLU,9418118003,Public,"S1, S2, S3"
47,KULLU,02004020,Civil Hospital Banjaar,8219623795,Public,S4
48,KULLU,02004021,Civil Hospital Nirmand,9418476604,Public,"M1, M7"
49,KULLU,02004022,Civil Hospital Anni,8894166108,Public,"M1, M7"
50,KULLU,02004023,COMMUNITY HEALTH CENTER,7018400315,Public,"M1, M7"
51,KULLU,02004025,Civil Hospital Manali,9459885666,Public,"S1, MG, MP, SB"
52,KULLU,02004026,Ayurvedic  Hospital  katrai,9418011033,Public,"M1, M7"
53,KULLU,02004027,District Ayurvedic Hospital Kullu,9418186331,Public,"M1, M7"
54,MANDI,02005020,CIVIL HOSPITAL SUNDERNAGAR,9459060969,Public,"M1, M7, M2, S1, S16, S2, S3, S5, BM, ER, IN, MC, MN, MO, MR, NA, SC, SO, SP, SS, SU, SV"
55,MANDI,02005021,CIVIL HOSPITAL KARSOG,9736417870,Public,"M1, M7, M2, S1, S16, S2, S3, S4, S5, S6"
56,MANDI,02005022,Civil hospital Joginder nagar,8309593307,Public,"M1, M7, M2, S1, S3"
57,MANDI,02005023,Referal hospital Sarkaghat,9816094009,Public,"M1, M7, S2, S5, S1, S3"
58,MANDI,02005024,Civil hospital Sandole,1905273223,Public,"M1, M7"
59,MANDI,02005025,Primary Health Centre Pdher,9459054750,Public,"M1, M7"
60,MANDI,02005026,Primary Health Centre Kotli,1905281231,Public,"M1, M7"
61,MANDI,02005027,CIVIL  HOSPITAL  GOHAR,9882424968,Public,"M1, M7, M2"
62,MANDI,02005028,Primary Health Centre Baldavada,9817650746,Public,"M1, M7"
63,MANDI,02005029,Primary Health Centre Ratti,7018587253,Public,"M1, M7"
64,MANDI,02005030,Primary Health Centre Bhagshad,9418662911,Public,"M1, M7"
65,MANDI,02005031,Primary Health Centre Dharampur,8219207756,Public,"M1, M7"
66,MANDI,02005032,Primary Health Centre Janjali,9418128839,Public,S1
67,MANDI,02005034,Distt  Ayurvedic  Hospital Mandi,9459871297,Public,"S1, M1, M7, S5"
68,MANDI,02005035,Ayurvedic  Hospital  Joginder nagar,8219994923,Public,"M1, M7"
69,MANDI,02005036,CH NAGWAIN,7018411054,Public,"M1, M7"
70,MANDI,02005038,NETAJI SUBHASH CHANDER BOSE ZONAL HOSPITAL MANDI,8627973633,Public,"M1, M7, M2, M3, S1, S15, S16, S3, S4, S5, S2"
71,HAMIRPUR,02006011,COMMUNITY HEALTH CENTRE Naduan,1972232248,Public,"M1, M7, S1"
72,HAMIRPUR,02006012,COMMUNITY HEALTH CENTRE Galore,9459336941,Public,"M1, M7"
73,HAMIRPUR,02006014,Distt  Ayurvedic  Hospital HAMIRPUR,7018789139,Public,"M1, M7, M2, S1, S5"
74,HAMIRPUR,02006015,COMMUNITY HEALTH CENTRE Bhoranj,9816144162,Public,"S1, M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
75,HAMIRPUR,02006018,REGIONAL HOSPITAL HAMIRPUR,7807571723,Public,"M1, M7, S1, S2, S4, S5, M2, S8, S7, M3, M4, M5, M6, M8, S10, S11, S12, S13, S14, S15, S16, S3, S6, S9"
76,HAMIRPUR,02006019,CIVIL HOSPITAL TAUNI DEVI,7018637416,Public,"M1, M7, S1, S10, S11, S16"
77,HAMIRPUR,02006020,COMMIUNITY HEALTH CENTRE BARSAR,7876065794,Public,"M1, M7, S1, S14, S2, S4, S5"
78,HAMIRPUR,02006021,COMMUNITY HEALTH CENTRE SUJANPUR TIRA,9816415711,Public,"M1, M7, S1"
79,HAMIRPUR,02006022,AASTHA HOSPITAL,9418046262,Private(For Profit),"M2, S1, S4, S5, M1, S8, M7, S7, M3, S9"
80,UNA,02007018,Regional Hospital Una Una,8894880934,Public,"M1, M7, M2, M3, S1, S2, S4, S5"
